,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,BFSAndLevelsVec,,"62.8294373178
","66.4991946759
","83.3480925701
","96.6652583101
","111.556352568
","117.37887957
","121.490336716
","126.105386121
","130.216733908
"
1,BFSAndProbCoverAndComplement,,"62.8294373178
","66.4991946759
","83.3480925701
","96.6652583101
","111.556352568
","117.37887957
","121.490336716
",,
2,det_BFSAndLevelsVec,"67
","93
","124
","143
","162
","182
","191
","197
","205
","210
"
3,det_BFSAndNumpyAndComplement,"67
","93
","124
","143
","162
","182
","191
","197
","205
","210
"
4,det_oldVersion,"67
","93
","124
","143
","162
","182
","188
","196
","201
","207
"
5,det_oldVersion_improved,"67
",,,"143
","162
","182
","188
","196
",,
6,det_onlyBFS,"67
","93
","124
","143
","162
","182
","191
","197
",,
7,det_onlyBFSAndNumpy,"67
","93
","124
","143
","162
","182
","191
","197
","205
","210
"
8,oldVersion,,"62.82943731775333
","66.49919467585579
","83.34809257014047
","96.66525831012126
","111.55635256769523
","114.92497320161931
","122.43052936776411
","125.9787172469118
",
9,onlyBFS,,"62.82943731775339
","66.4991946758559
","83.34809257014047
","96.66525831012137
","111.556352567695
","117.37887957019205
","121.49033671594287
",,
10,onlyBFSAndComplement,"36.579344113862874
","62.82943731775333
","66.49919467585573
",,,,"117.37887957019228
","121.49033671594322
",,
11,onlyBFSAndProbCover,,"62.8294373178
","66.4991946759
","83.3480925701
","96.6652583101
","111.556352568
","117.37887957
","121.490336716
",,
