,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,bound_means,,"[5.782, 15.398]","[5.782, 33.528, 1.427.465]","[5.782, 35.119, 1.692.953, 121.353.618]",,,,,,
1,bound_means_iterations,,"[5.782, 1.476]","[5.782, 15.025, 108.561]","[5.782, 33.095, 1.421.697, 10.932.148]","[5.782, 34.943, 1.692.203, 121.204.015, 1.204.847.289]",,,,,
2,bound_means_iterations_optimized,,"[5.782, 1.476]","[5.782, 15.025, 108.561]","[5.782, 33.095, 982.900, 10.932.148]","[5.782, 34.943, 1.660.016, 31.050.281, 1.204.847.252]",,,,,
3,bound_means_optimized,,"[5.782, 15.398]","[5.782, 33.528, 959.259]","[5.782, 35.119, 1.666.494, 29.167.403]",,,,,,
4,bound_min,[5.782],"[5.782, 22.197]","[5.782, 22.884, 1.203.923]","[5.782, 22.421, 1.197.416, 96.694.067]",,,,,,
5,bound_min_migliorato,[5.782],"[5.782, 3.525]","[5.782, 31.217, 579.026]","[5.782, 34.952, 1.685.343, 51.907.545]",,,,,,
6,bound_min_migliorato_iterations,[5.782],"[5.782, 1.561]","[5.782, 15.849, 286.777]","[5.782, 23.749, 1.079.521, 32.715.686]",,,,,,
7,bound_min_migliorato_iterations_optimized,[5.782],"[5.782, 1.549]","[5.782, 15.690, 187.228]","[5.782, 23.817, 906.551, 1.917.912]","[5.782, 24.994, 1.281.132, 58.914.247, 107.221.211]",,,,,
8,bound_min_migliorato_optimized,[5.782],"[5.782, 3.537]","[5.782, 31.222, 370.309]","[5.782, 34.952, 1.531.380, 3.116.330]",,,,,,
9,bound_order,[5.782],"[5.782, 888]","[5.782, 18.061, 131.390]","[5.782, 35.219, 592.618, 4.022.535]","[5.782, 35.219, 1.694.511, 15.045.755, 72.366.571]",,,,,
10,bound_order_improved_iterations_percentiles,,"[5.782, 351]","[5.782, 947, 7.685]","[5.782, 2.814, 15.658, 31.404]","[5.782, 351, 40.272, 52.675, 217.116]",,"[5.782, 351, 40.272, 4.271.045, 390.646.801, 185.057.329, 69.873.641]",,,
11,bound_order_optimized,[5.782],"[5.782, 888]","[5.782, 18.061, 110.947]","[5.782, 35.219, 375.767, 67.761]","[5.782, 35.219, 1.694.511, 5.399.960, 8.984.133]","[5.782, 35.219, 1.694.511, 127.941.059, 273.571.502, 40.917.891]",,,,
12,det_LevelsVec,[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],,,,,,
13,det_numpy,[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],,,,,,
14,det_old,[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],[ro.nod.iin.ter.niv.isi.tat.ipe.rli.vel.lo:],,,,,,,
15,noboundLevelsVec,[9.859],"[9.859, 40.705]","[9.859, 40.705, 1.808.307]","[9.859, 40.705, 1.808.307, 131.883.233]",,,,,,
16,noboundMatrix,[9.859],"[9.859, 40.705]","[9.859, 40.705, 1.808.307]","[9.859, 40.705, 1.808.307, 131.883.233]",,,,,,
17,nobound_migliorato,[5.782],"[5.782, 35.219]","[5.782, 35.219, 1.694.511]","[5.782, 35.219, 1.694.511, 127.941.059]","[5.782, 35.219, 1.694.511, 127.941.059, 11.226.898.128]",,,,,
18,oldVersion,[9.859],"[9.859, 40.705]","[9.859, 40.705, 1.808.307]",,,,,,,
19,oldVersion2,[],[],[55],[961],,,,,,
