,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,bound_means,,"[5782, 15398]","[5782, 33528, 1427465]","[5782, 35119, 1692953, 121353618]",,,,,,
1,bound_means_iterations,,"[5782, 1476]","[5782, 15025, 108561]","[5782, 33095, 1421697, 10932148]","[5782, 34943, 1692203, 121204015, 1204847289]",,,,,
2,bound_means_iterations_optimized,,"[5782, 1476]","[5782, 15025, 108561]","[5782, 33095, 982900, 10932148]","[5782, 34943, 1660016, 31050281, 1204847252]",,,,,
3,bound_means_optimized,,"[5782, 15398]","[5782, 33528, 959259]","[5782, 35119, 1666494, 29167403]",,,,,,
4,bound_min,[5782],"[5782, 22197]","[5782, 22884, 1203923]","[5782, 22421, 1197416, 96694067]",,,,,,
5,bound_min_migliorato,[5782],"[5782, 3525]","[5782, 31217, 579026]","[5782, 34952, 1685343, 51907545]",,,,,,
6,bound_min_migliorato_iterations,[5782],"[5782, 1561]","[5782, 15849, 286777]","[5782, 23749, 1079521, 32715686]",,,,,,
7,bound_min_migliorato_iterations_optimized,[5782],"[5782, 1549]","[5782, 15690, 187228]","[5782, 23817, 906551, 1917912]","[5782, 24994, 1281132, 58914247, 107221211]",,,,,
8,bound_min_migliorato_optimized,[5782],"[5782, 3537]","[5782, 31222, 370309]","[5782, 34952, 1531380, 3116330]",,,,,,
9,bound_order,[5782],"[5782, 888]","[5782, 18061, 131390]","[5782, 35219, 592618, 4022535]","[5782, 35219, 1694511, 15045755, 72366571]",,,,,
10,bound_order_improved_iterations_percentiles,,"[5782, 351]","[5782, 947, 7685]","[5782, 2814, 15658, 31404]","[5782, 351, 40272, 52675, 217116]","[5782, 351, 40272, 4271045, 1463178, 4768490]","[5782, 351, 40272, 4271045, 390646801, 185057329, 69873641]",,,
11,bound_order_improved_iterations_percentiles_Advance,,"[5782, 351]","[5782, 947, 7685]","[5782, 2814, 15658, 31404]","[5782, 351, 40272, 52675, 217116]","[5782, 351, 40272, 4271045, 1463186, 4768490]","[5782, 351, 40272, 4271045, 390646801, 185055763, 69877763]",,,
12,bound_order_improved_iterations_percentiles_Advance_plus_Combinatorial,,"[5782, 224]","[5782, 947, 5419]","[5782, 2814, 15411, 31264]","[5782, 351, 40272, 42288, 109569]","[5782, 351, 40272, 4271045, 964869, 4201824]","[5782, 351, 40272, 4271045, 378730993, 159155255, 19335263]",,,
13,bound_order_optimized,[5782],"[5782, 888]","[5782, 18061, 110947]","[5782, 35219, 375767, 67761]","[5782, 35219, 1694511, 5399960, 8984133]","[5782, 35219, 1694511, 127941059, 273571502, 40917891]",,,,
14,det_LevelsVec,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,,,,,
15,det_numpy,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,,,,,
16,det_old,[9859],"[9859, 40705]","[9859, 40705, 1808307]",[ro nodi interni visitati per livello: ,,,,,,
17,noboundLevelsVec,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,,,,,
18,noboundMatrix,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,,,,,
19,nobound_migliorato,[5782],"[5782, 35219]","[5782, 35219, 1694511]","[5782, 35219, 1694511, 127941059]","[5782, 35219, 1694511, 127941059, 11226898128]",,,,,
20,oldVersion,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,,,,,
21,oldVersion_old,[,[4,[557,[9618,,,,,,
